Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Duration,Original Record Label & Catalog No.,Suggested Filename,Concatenate,Eliminate Hyphens,Substitute Google Comma Char.,Eliminate Ampersand Phrases,,,Eliminate Parentheticals,,Search Formula
02/17/90,1990,48,Leila K & Rob ‘n Raz,Leila K & Rob 'n Raz,Got To Get,Got to Get,3:41,Arista 9931,Leila K & Rob 'n Raz--Got to Get (1990),%22Leila K & Rob 'n Raz%22+%22Got to Get%22,%22Leila K & Rob %27n Raz%22+%22Got to Get%22,%22Leila K & Rob %27n Raz%22+%22Got to Get%22,12,26,%22Leila K%22+%22Got to Get%22,,,https://www.google.com/search?q=%22Leila K%22+%22Got to Get%22&ie=utf-8&oe=utf-8
02/17/90,1990,65,Anything Box,Anything Box,Living In Oblivion,Living in Oblivion,4:21,Epic 73231,Anything Box--Living in Oblivion (1990),%22Anything Box%22+%22Living in Oblivion%22,%22Anything Box%22+%22Living in Oblivion%22,%22Anything Box%22+%22Living in Oblivion%22,,,%22Anything Box%22+%22Living in Oblivion%22,,,https://www.google.com/search?q=%22Anything Box%22+%22Living in Oblivion%22&ie=utf-8&oe=utf-8
02/17/90,1990,69,McAuley Schenker Group,McAuley Schenker Group,Anytime,Anytime,5:29,Capitol 44471,McAuley Schenker Group--Anytime (1990),%22McAuley Schenker Group%22+%22Anytime%22,%22McAuley Schenker Group%22+%22Anytime%22,%22McAuley Schenker Group%22+%22Anytime%22,,,%22McAuley Schenker Group%22+%22Anytime%22,,,https://www.google.com/search?q=%22McAuley Schenker Group%22+%22Anytime%22&ie=utf-8&oe=utf-8
02/17/90,1990,70,Joyce “Fenderella” Irby,Joyce 'Fenderella' Irby,I’ll Be There,I'll Be There,3:57,Motown 2032,Joyce 'Fenderella' Irby--I'll Be There (1990),%22Joyce 'Fenderella' Irby%22+%22I'll Be There%22,%22Joyce %27Fenderella%27 Irby%22+%22I%27ll Be There%22,%22Joyce %27Fenderella%27 Irby%22+%22I%27ll Be There%22,,,%22Joyce %27Fenderella%27 Irby%22+%22I%27ll Be There%22,,,https://www.google.com/search?q=%22Joyce %27Fenderella%27 Irby%22+%22I%27ll Be There%22&ie=utf-8&oe=utf-8
02/24/90,1990,6,Babyface,Babyface,Whip Appeal,Whip Appeal,4:23,Solar 74007,Babyface--Whip Appeal (1990),%22Babyface%22+%22Whip Appeal%22,%22Babyface%22+%22Whip Appeal%22,%22Babyface%22+%22Whip Appeal%22,,,%22Babyface%22+%22Whip Appeal%22,,,https://www.google.com/search?q=%22Babyface%22+%22Whip Appeal%22&ie=utf-8&oe=utf-8
02/24/90,1990,8,Mötley Crüe,Mötley Crüe,Without You,Without You,4:29,Elektra 7-64985,Mötley Crüe--Without You (1990),%22Mötley Crüe%22+%22Without You%22,%22Mötley Crüe%22+%22Without You%22,%22Mötley Crüe%22+%22Without You%22,,,%22Mötley Crüe%22+%22Without You%22,,,https://www.google.com/search?q=%22Mötley Crüe%22+%22Without You%22&ie=utf-8&oe=utf-8
02/24/90,1990,13,Seduction,Seduction,Heartbeat,Heartbeat,4:54,Vendetta 1473,Seduction--Heartbeat (1990),%22Seduction%22+%22Heartbeat%22,%22Seduction%22+%22Heartbeat%22,%22Seduction%22+%22Heartbeat%22,,,%22Seduction%22+%22Heartbeat%22,,,https://www.google.com/search?q=%22Seduction%22+%22Heartbeat%22&ie=utf-8&oe=utf-8
02/24/90,1990,28,Faster Pussycat,Faster Pussycat,House Of Pain,House of Pain,5:47,Elektra 7-64995,Faster Pussycat--House of Pain (1990),%22Faster Pussycat%22+%22House of Pain%22,%22Faster Pussycat%22+%22House of Pain%22,%22Faster Pussycat%22+%22House of Pain%22,,,%22Faster Pussycat%22+%22House of Pain%22,,,https://www.google.com/search?q=%22Faster Pussycat%22+%22House of Pain%22&ie=utf-8&oe=utf-8
02/24/90,1990,34,Natalie Cole,Natalie Cole,Wild Women Do,Wild Women Do,4:00,EMI 50275,Natalie Cole--Wild Women Do (1990),%22Natalie Cole%22+%22Wild Women Do%22,%22Natalie Cole%22+%22Wild Women Do%22,%22Natalie Cole%22+%22Wild Women Do%22,,,%22Natalie Cole%22+%22Wild Women Do%22,,,https://www.google.com/search?q=%22Natalie Cole%22+%22Wild Women Do%22&ie=utf-8&oe=utf-8
02/24/90,1990,43,Regina Belle,Regina Belle,Make It Like It Was,Make It Like It Was,3:53,Columbia 73022,Regina Belle--Make It Like It Was (1990),%22Regina Belle%22+%22Make It Like It Was%22,%22Regina Belle%22+%22Make It Like It Was%22,%22Regina Belle%22+%22Make It Like It Was%22,,,%22Regina Belle%22+%22Make It Like It Was%22,,,https://www.google.com/search?q=%22Regina Belle%22+%22Make It Like It Was%22&ie=utf-8&oe=utf-8
02/24/90,1990,82,Mantronix Featuring Wondress,Mantronix,Got To Have Your Love,Got to Have Your Love,3:58,Capitol 44466,Mantronix--Got to Have Your Love (1990),%22Mantronix%22+%22Got to Have Your Love%22,%22Mantronix%22+%22Got to Have Your Love%22,%22Mantronix%22+%22Got to Have Your Love%22,,,%22Mantronix%22+%22Got to Have Your Love%22,,,https://www.google.com/search?q=%22Mantronix%22+%22Got to Have Your Love%22&ie=utf-8&oe=utf-8
02/24/90,1990,90,Fine Young Cannibals,Fine Young Cannibals,I’m Not Satisfied,I'm Not Satisfied,3:41,MCA 53789,Fine Young Cannibals--I'm Not Satisfied (1990),%22Fine Young Cannibals%22+%22I'm Not Satisfied%22,%22Fine Young Cannibals%22+%22I%27m Not Satisfied%22,%22Fine Young Cannibals%22+%22I%27m Not Satisfied%22,,,%22Fine Young Cannibals%22+%22I%27m Not Satisfied%22,,,https://www.google.com/search?q=%22Fine Young Cannibals%22+%22I%27m Not Satisfied%22&ie=utf-8&oe=utf-8
03/03/90,1990,3,Michael Bolton,Michael Bolton,How Can We Be Lovers,How Can We Be Lovers,3:47,Columbia 73257,Michael Bolton--How Can We Be Lovers (1990),%22Michael Bolton%22+%22How Can We Be Lovers%22,%22Michael Bolton%22+%22How Can We Be Lovers%22,%22Michael Bolton%22+%22How Can We Be Lovers%22,,,%22Michael Bolton%22+%22How Can We Be Lovers%22,,,https://www.google.com/search?q=%22Michael Bolton%22+%22How Can We Be Lovers%22&ie=utf-8&oe=utf-8
